address,c_b_no,Borough
326 7 AVENUE,105,MANHATTAN
1201 TELLER AVENUE,204,BRONX
302 MAUJER STREET,301,BROOKLYN
727 DEKALB AVENUE,303,BROOKLYN
519 WEST 29 STREET,104,MANHATTAN
102 SOMERS STREET,316,BROOKLYN
15 WEST 65 STREET,107,MANHATTAN
90 HERBERT STREET,301,BROOKLYN
65-27 ROOSEVELT AVENUE,402,QUEENS
143 VARICK STREET,102,MANHATTAN
48 BLEECKER STREET,304,BROOKLYN
396 FLATBUSH AVENUE EXTENSION,302,BROOKLYN
1750 BEDFORD AVENUE,309,BROOKLYN
1020 ROGERS AVENUE,317,BROOKLYN
2181 MORRIS AVENUE,205,BRONX
200 EAST 75 STREET,108,MANHATTAN
68 NORTH HENRY STREET,301,BROOKLYN
301 STOCKHOLM STREET,304,BROOKLYN
268 CONKLIN AVENUE,318,BROOKLYN
937 HOME STREET,203,BRONX
403 EAST 79 STREET,108,MANHATTAN
1 DEP PLAZA,101,MANHATTAN
309 3 STREET,306,BROOKLYN
1620 FULTON STREET,303,BROOKLYN
18 FULTON STREET,101,MANHATTAN
2-20 MALT DRIVE,402,QUEENS
166 BAY 49 STREET,313,BROOKLYN
446A LAFAYETTE AVENUE,303,BROOKLYN
196 WALWORTH STREET,303,BROOKLYN
124 LEXINGTON AVENUE,105,MANHATTAN
95 29 STREET,307,BROOKLYN
43-19 54 STREET,402,QUEENS
21 EAST   65 STREET,108,MANHATTAN
16 NOEL ROAD,NA,QUEENS
2239 CHURCH AVENUE,314,BROOKLYN
579 FULTON STREET,302,BROOKLYN
38-15 9 STREET,401,QUEENS
