"address","c_b_no","Borough"
"23-31 ASTORIA BOULEVARD","401","QUEENS"
"430 MAIN STREET","108","MANHATTAN"
"1034 ATLANTIC AVENUE","308","BROOKLYN"
"92-54 QUEENS BOULEVARD","406","QUEENS"
"604 EAST   40 STREET","317","BROOKLYN"
"1104 UNIVERSITY AVENUE","204","BRONX"
"1745 WEST FARMS ROAD","NA","BRONX"
"1884 BROADWAY","316","BROOKLYN"
"55-18 37 AVENUE","NA","QUEENS"
"61-06 JUNCTION BOULEVARD","406","QUEENS"
"183 COLUMBIA STREET","306","BROOKLYN"
"2009 NOSTRAND AVENUE","317","BROOKLYN"
"147 41 STREET","307","BROOKLYN"
"25-23 NEWTOWN AVENUE","401","QUEENS"
"162 PERRY STREET","102","MANHATTAN"
"43-46 39 PLACE","402","QUEENS"
"26-30 4 STREET","401","QUEENS"
"2073 ANTHONY AVENUE","205","BRONX"
"679 VAN SINDEREN AVENUE","305","BROOKLYN"
"104-19 ROOSEVELT AVENUE","403","QUEENS"
"45-07 45 STREET","NA","QUEENS"
"58-01 QUEENS BOULEVARD","402","QUEENS"
"141-15 78 AVENUE","NA","QUEENS"
"1406 CROTONA PARK EAST","203","BRONX"
"909 EAST TREMONT AVENUE","206","BRONX"
"2886 ATLANTIC AVENUE","305","BROOKLYN"
"370 EVERGREEN AVENUE","304","BROOKLYN"
"459 FULTON STREET","302","BROOKLYN"
"1458 FLATBUSH AVENUE","314","BROOKLYN"
"1985 HONEYWELL AVENUE","206","BRONX"
"757 FLATBUSH AVENUE","314","BROOKLYN"
"4315 3 AVENUE","307","BROOKLYN"
"1953 WALLACE AVENUE","211","BRONX"
"2809 SEDGWICK AVENUE","208","BRONX"
"40-38 61 STREET","402","QUEENS"
"93 DUPONT STREET","301","BROOKLYN"
"2594 FULTON STREET","305","BROOKLYN"
"167 MALCOLM X BOULEVARD","303","BROOKLYN"
"529 MAPLE STREET","309","BROOKLYN"
"3631 JOHNSON AVENUE","208","BRONX"
"1896 UNIVERSITY AVENUE","205","BRONX"
"643 5 AVENUE","307","BROOKLYN"
"1205 BROADWAY","304","BROOKLYN"
"912 BERGEN STREET","308","BROOKLYN"
"356 EAST   78 STREET","108","MANHATTAN"
"920 METROPOLITAN AVENUE","301","BROOKLYN"
"190 BEDFORD AVENUE","301","BROOKLYN"
"4025 GUNTHER AVENUE","212","BRONX"
"280 MEEKER AVENUE","301","BROOKLYN"
"3545 WHITE PLAINS ROAD","212","BRONX"
"30 WEST  182 STREET","205","BRONX"
"147-58 77 ROAD","408","QUEENS"
"1323 CHISHOLM STREET","203","BRONX"
"517 SARATOGA AVENUE","316","BROOKLYN"
"7121 13 AVENUE","310","BROOKLYN"
"2736 CRESTON AVENUE","207","BRONX"
"1755 PITKIN AVENUE","316","BROOKLYN"
"156 PERRY STREET","102","MANHATTAN"
"6201 BROADWAY","208","BRONX"
"613 5 AVENUE","307","BROOKLYN"
"8516 AVENUE J","318","BROOKLYN"
"212 EAST  125 STREET","111","MANHATTAN"
"143-06 135 AVENUE","412","QUEENS"
"66 UNIVERSITY PLACE","102","MANHATTAN"
"629 FRANKLIN AVENUE","308","BROOKLYN"
"97-01 55 AVENUE","404","QUEENS"
"380 FOURTH AVENUE","306","BROOKLYN"
"71 QUINCY STREET","303","BROOKLYN"
"844 BEDFORD AVENUE","303","BROOKLYN"
"156 17 STREET","307","BROOKLYN"
"535 EAST 12 STREET","103","MANHATTAN"
"122 4 AVENUE","306","BROOKLYN"
"2461 HUGHES AVENUE","206","BRONX"
"15 GERRY STREET","301","BROOKLYN"
"1467 3 AVENUE","108","MANHATTAN"
"1209 1 AVENUE","108","MANHATTAN"
"2252 AQUEDUCT AVENUE","205","BRONX"
"1010 PARK AVENUE","108","MANHATTAN"
"209 HAVEMEYER STREET","301","BROOKLYN"
"2519 SEDGWICK AVENUE","207","BRONX"
"235 ROBINSON AVENUE","210","BRONX"
"21 LEFFERTS PLACE","302","BROOKLYN"
"353 BEDFORD AVENUE","301","BROOKLYN"
"48 CHRISTOPHER AVENUE","316","BROOKLYN"
"1390 RICHMOND TERRACE","501","STATEN ISLAND"
"420 GATES AVENUE","303","BROOKLYN"
"501 3 AVENUE","106","MANHATTAN"
"1846 PARK PLACE","316","BROOKLYN"
"2385 TIEBOUT AVENUE","205","BRONX"
"3405 3 AVENUE","203","BRONX"
"103 SCHENECTADY AVENUE","308","BROOKLYN"
"1047 OGDEN AVENUE","204","BRONX"
"951 BEDFORD AVENUE","303","BROOKLYN"
"31 WAVE STREET","501","STATEN ISLAND"
"760 MADISON AVENUE","108","MANHATTAN"
"26 NAGLE AVENUE","112","MANHATTAN"
"38 STRATFORD ROAD","314","BROOKLYN"
"37 PORT RICHMOND AVENUE","501","STATEN ISLAND"
"110-12 101 AVENUE","NA","QUEENS"
"150-19 GUY R BREWER BOULEVARD","413","QUEENS"
"1100 LEGGETT AVENUE","202","BRONX"
"263 PORT RICHMOND AVENUE","501","STATEN ISLAND"
"80 WYTHE AVENUE","301","BROOKLYN"
"2779 UNIVERSITY AVENUE","208","BRONX"
"1824 ANTHONY AVENUE","205","BRONX"
"402 MOTHER GASTON BOULEVARD","316","BROOKLYN"
"31 RICHARD STREET","306","BROOKLYN"
"656 EAST FORDHAM ROAD","206","BRONX"
"591 EAST   31 STREET","317","BROOKLYN"
"88-11 179 PLACE","412","QUEENS"
"100-15 NORTHERN BOULEVARD","403","QUEENS"
"330 ATLANTIC AVENUE","302","BROOKLYN"
"1355 55 STREET","312","BROOKLYN"
"470 KENT AVENUE","301","BROOKLYN"
"85-18 57 AVENUE","404","QUEENS"
"483 CLINTON AVENUE","302","BROOKLYN"
"270 NOSTRAND AVENUE","303","BROOKLYN"
"1255 DECATUR STREET","304","BROOKLYN"
"90-20 QUEENS BOULEVARD","404","QUEENS"
"1847 PITKINS AVENUE","316","BROOKLYN"
"213 14 STREET","306","BROOKLYN"
"651 LIBERTY AVENUE","305","BROOKLYN"
"5012 20 AVENUE","312","BROOKLYN"
"361 EAST 194 STREET","207","BRONX"
"4650 BROADWAY","112","MANHATTAN"
"223 LINDEN STREET","304","BROOKLYN"
"1845 BROADWAY","107","MANHATTAN"
"57-14 A GRANGER STREET","404","QUEENS"
"40-21 27 STREET","401","QUEENS"
"2241 CHURCH AVENUE","314","BROOKLYN"
"106-06 ASTORIA BOULEVARD","403","QUEENS"
"857 LAFAYETTE AVENUE","303","BROOKLYN"
"458 CYRUS PLACE","206","BRONX"
"356 EAST 78 STREET","108","MANHATTAN"
"164 26 STREET","307","BROOKLYN"
"910 BERGEN STREET","308","BROOKLYN"
"465 WEST 163 STREET","112","MANHATTAN"
"23-15 44 ROAD","402","QUEENS"
"221 26 STREET","307","BROOKLYN"
"332 ELDERT STREET","304","BROOKLYN"
"702 BEACH AVENUE","209","BRONX"
"27-10 37 AVENUE","401","QUEENS"
"3012 FARRAGUT ROAD","NA","BROOKLYN"
"333 EAST 82 STREET","108","MANHATTAN"
"17 DODWORTH STREET","304","BROOKLYN"
"14 5 AVENUE","102","MANHATTAN"
"87-57 150 STREET","412","QUEENS"
"132-55 41 ROAD","407","QUEENS"
"500 WEST 25 STREET","104","MANHATTAN"
"23-17 41 AVENUE","401","QUEENS"
"113 EAST 55 STREET","105","MANHATTAN"
"1367 EASTERN PARKWAY","308","BROOKLYN"
"1999 ANTHONY AVENUE","205","BRONX"
"205 SAND LANE","502","STATEN ISLAND"
"7 WEST 29 STREET","105","MANHATTAN"
"138-12 101 AVENUE","301","QUEENS"
"26-28 18 STREET","401","QUEENS"
"385 CLASSON AVENUE","303","BROOKLYN"
"104 DEKALB AVENUE","302","BROOKLYN"
"620 EAST   32 STREET","317","BROOKLYN"
"31 BRIGHTON   11 STREET","313","BROOKLYN"
"31-27 CRESCENT STREET","401","QUEENS"
"172 WEST  225 STREET","208","MANHATTAN"
"3991 SAXON AVENUE","208","BRONX"
"292 GATES AVENUE","303","BROOKLYN"
"1942 UNIVERSITY AVENUE","NA","BRONX"
"148 BEACH STREET","501","STATEN ISLAND"
"337 EAST 82 STREET","108","MANHATTAN"
"2335 2 AVENUE","111","MANHATTAN"
"6 HAVEMEYER STREET","301","BROOKLYN"
"1892 BROADWAY","316","BROOKLYN"
"1325 MORRIS AVENUE","308","BRONX"
"2017 GRAND CONCOURSE","205","BRONX"
"256 WINTHROP STREET","309","BROOKLYN"
"738 5 AVENUE","307","BROOKLYN"
"287 MAPLE STREET","309","BROOKLYN"
"2175 DAVIDSON AVENUE","205","BRONX"
"147-07 94 AVENUE","412","QUEENS"
"120 LEXINGTON AVENUE","105","MANHATTAN"
"2331 2 AVENUE","111","MANHATTAN"
"1010 BUSHWICK AVENUE","304","BROOKLYN"
"1968 CROTONA AVENUE","206","BRONX"
"250 WATER STREET","302","BROOKLYN"
"119 RYERSON STREET","302","BROOKLYN"
"1274 NEW YORK AVENUE","317","BROOKLYN"
"579 3 AVENUE","307","BROOKLYN"
"96 16 STREET","307","BROOKLYN"
"23-42 31 DRIVE","401","QUEENS"
"872 EAST 180 STREET","206","BRONX"
"968 ROGERS PLACE","202","BRONX"
"1017 EAST GUN HILL ROAD","212","BRONX"
"2754 CRESTON AVENUE","207","BRONX"
"171 DEVOE STREET","301","BROOKLYN"
"172 EAST  122 STREET","111","MANHATTAN"
"3841 FIELDSTON ROAD","208","BRONX"
"206 NORTH    8 STREET","301","BROOKLYN"
"89-16 168 STREET","412","QUEENS"
"1108 SURF AVENUE","313","BROOKLYN"
"21 LEFFERTS PLACE","302","BROOKLYN"
"330 EAST   64 STREET","NA","MANHATTAN"
"336 QUINCY STREET","303","BROOKLYN"
"846 7 AVENUE","105","MANHATTAN"
"48 EAST   80 STREET","108","MANHATTAN"
"762 MACON STREET","303","BROOKLYN"
"185 COLUMBIA STREET","306","BROOKLYN"
"775 REAR WEST  254 STREET","208","BRONX"
"43-21 64 STREET","402","QUEENS"
"11-52 44 DRIVE","402","QUEENS"
"1036 PROSPECT AVENUE","202","BRONX"
"353 2 AVENUE","106","MANHATTAN"
"68 WEST  119 STREET","308","MANHATTAN"
"24 FROST STREET","301","BROOKLYN"
"2716 21 STREET","401","QUEENS"
"173-07 LIBERTY AVENUE","412","QUEENS"
"45-25 DAVIS STREET","402","QUEENS"
"808 ELSMERE PLACE","206","BRONX"
"66 SOUTH    6 STREET","NA","BROOKLYN"
"1010 BUSHWICK AVENUE","304","BROOKLYN"
"1340 PROSPECT AVENUE","203","BRONX"
"375 SAND LANE","502","STATEN ISLAND"
"436 ETNA STREET","305","BROOKLYN"
"44-01 NORTHERN BOULEVARD","401","QUEENS"
"1095 SOUTHERN BOULEVARD","202","BRONX"
"368 LEONARD STREET","301","BROOKLYN"
"99 FLEET PLACE","302","BROOKLYN"
"43-12 HUNTER STREET","402","QUEENS"
"36-22 31 STREET","401","QUEENS"
"133 EAST   55 STREET","NA","MANHATTAN"
"289 EAST 161 STREET","204","BRONX"
"155 WEST 29 STREET","105","MANHATTAN"
"3827 CARPENTER AVENUE","212","BRONX"
"315 SUMPTER STREET","316","BROOKLYN"
"200 SOUND VIEW AVENUE","209","BRONX"
"147-02 76 ROAD","408","QUEENS"
"849 CROTONA PARK NORTH","206","BRONX"
"622 AVENUE H","314","BROOKLYN"
"776 EAST GUN HILL ROAD","212","BRONX"
"8025 126 STREET","409","QUEENS"
"27 MONTROSE AVENUE","301","BROOKLYN"
"132-49 41 AVENUE","407","QUEENS"
"1118 FULTON STREET","303","BROOKLYN"
"88 JEWETT AVENUE","501","STATEN ISLAND"
"521 WEST  134 STREET","109","MANHATTAN"
"95-08 147 PLACE","412","QUEENS"
"25-36 JACKSON AVENUE","402","QUEENS"
"1323 BOSTON ROAD","203","BRONX"
"293 14 STREET","306","BROOKLYN"
"21-27 30 DRIVE","401","QUEENS"
"469 PRESIDENT STREET","306","BROOKLYN"
"322 EAST   32 STREET","317","BROOKLYN"
"150 EAST 91 STREET","108","MANHATTAN"
"69 SOUTH    8 STREET","301","BROOKLYN"
"177 GREENPOINT AVENUE","NA","BROOKLYN"
"625 ROGERS AVENUE","309","BROOKLYN"
"3829 CARPENTER AVENUE","212","BRONX"
"767 EAST  133 STREET","201","BRONX"
"1522 1 AVENUE","108","MANHATTAN"
"361 BEDFORD AVENUE","301","BROOKLYN"
"129-25 101 AVENUE","409","QUEENS"
"15 EAST 19 STREET","314","BROOKLYN"
"875 ERSKINE STREET","305","BROOKLYN"
"35 NORTH ELLIOT PLACE","302","BROOKLYN"
"350 WEST   44 STREET","104","MANHATTAN"
"830 54 STREET","312","BROOKLYN"
"1863 STARR STREET","405","QUEENS"
"145 BOWERY","103","MANHATTAN"
"12-18 38 AVENUE","401","QUEENS"
"634 EAST 32 STREET","317","BROOKLYN"
"78 WEST  170 STREET","204","BRONX"
"1638 PARK AVENUE","111","MANHATTAN"
"302 BROADWAY","301","BROOKLYN"
"193 VERONICA PLACE","317","BROOKLYN"
"507 EVERGREEN AVENUE","304","BROOKLYN"
"352 EAST    5 STREET","312","BROOKLYN"
"2700 ATLANTIC AVENUE","305","BROOKLYN"
"558 WEST 161 STREET","112","MANHATTAN"
"100 16 STREET","307","BROOKLYN"
"109 MONTGOMERY STREET","309","BROOKLYN"
"4855 BALDWIN STREET","212","BRONX"
"1714 EAST    9 STREET","315","BROOKLYN"
"201 WEST 54 STREET","105","MANHATTAN"
"219 EAST 203 STREET","207","BRONX"
"37 GARNET STREET","306","BROOKLYN"
"1140 WHEELER AVENUE","209","BRONX"
"1571 JARVIS AVENUE","NA","BRONX"
"1560 SHAKESPEARE AVENUE","205","BRONX"
"470 KENT AVENUE","301","BROOKLYN"
"1255 DECATUR STREET","304","BROOKLYN"
"2308 ANDREWS AVENUE NORTH","207","BRONX"
"78 WEST 170 STREET","204","BRONX"
"424 CARROLL STREET","306","BROOKLYN"
"353 AMBOY STREET","316","BROOKLYN"
"76 LINDEN BOULEVARD","314","BROOKLYN"
"2678 CRESTON AVENUE","207","BRONX"
"49 JACKSON STREET","501","STATEN ISLAND"
"651 FULTON STREET","302","BROOKLYN"
"27 MONTROSE AVENUE","301","BROOKLYN"
"565 WEST 170 STREET","112","MANHATTAN"
"1232 MADISON AVENUE","108","MANHATTAN"
"533 CLOVE ROAD","501","STATEN ISLAND"
"1820 EDISON AVENUE","210","BRONX"
"16 EAST 16 STREET","105","MANHATTAN"
"189 EAST  205 STREET","207","BRONX"
"106-35 150 STREET","412","QUEENS"
"102 VANDERBILT STREET","307","BROOKLYN"
"1720 86 STREET","311","BROOKLYN"
"1180 FULTON AVENUE","203","BRONX"
"174 WEST  225 STREET","208","MANHATTAN"
"167 PLYMOUTH STREET","302","BROOKLYN"
"558 RIVERSIDE DRIVE","NA","MANHATTAN"
"499 PENNSYLVANIA AVENUE","305","BROOKLYN"
"361 BEDFORD AVENUE","301","BROOKLYN"
"1693 2 AVENUE","NA","MANHATTAN"
"137-61 NORTHERN BOULEVARD","407","QUEENS"
"2234 RICHMOND TERRACE","501","STATEN ISLAND"
"8136 BAY 16 STREET","311","BROOKLYN"
"66 MAUJER STREET","301","BROOKLYN"
"2500 BARKER AVENUE","211","BRONX"
"67 BUSHWICK AVENUE","301","BROOKLYN"
"157 LEXINGTON AVENUE","303","BROOKLYN"
"1081 ANDERSON AVENUE","204","BRONX"
"106-35 150 STREET","412","QUEENS"
"25 JUNIUS STREET","316","BROOKLYN"
"608 OCEAN AVENUE","314","BROOKLYN"
"102-05 ROOSEVELT AVENUE","403","QUEENS"
"1661 MADISON AVENUE","111","MANHATTAN"
"2308 30 DRIVE","401","QUEENS"
"108-50 ROOSEVELT AVENUE","404","QUEENS"
"213-41 38 AVENUE","411","QUEENS"
"1240 39 STREET","312","BROOKLYN"
"107-01 PARK LANE SOUTH","NA","QUEENS"
"1337 3 AVENUE","108","MANHATTAN"
"55 STAGG STREET","301","BROOKLYN"
"3121 OCEAN AVENUE","315","BROOKLYN"
"630 GRAND STREET","301","BROOKLYN"
"104 FROST STREET","301","BROOKLYN"
"408 EAST  153 STREET","201","BRONX"
"2040 MC GRAW AVENUE","209","BRONX"
"2769 CRESTON AVENUE","207","BRONX"
"1118 FULTON STREET","303","BROOKLYN"
"507 EAST 59 STREET","108","MANHATTAN"
"293 14 STREET","306","BROOKLYN"
"61 GREEN STREET","301","BROOKLYN"
"351 2 AVENUE","106","MANHATTAN"
"55-01 2 STREET","402","QUEENS"
"417 PARK AVENUE","105","MANHATTAN"
"813 GREENE AVENUE","303","BROOKLYN"
"408 HAWTHORNE STREET","309","BROOKLYN"
"3080 DECATUR AVENUE","207","BRONX"
"30-85 VERNON BOULEVARD","401","QUEENS"
"148-15 89 AVENUE","412","QUEENS"
"544 CARROLL STREET","306","BROOKLYN"
"89 MALCOLM X BOULEVARD","303","BROOKLYN"
"645 5 AVENUE","307","BROOKLYN"
"540 WAVERLY AVENUE","302","BROOKLYN"
"112-02 14 ROAD","407","QUEENS"
"55-04 102 STREET","404","QUEENS"
"445 BLAKE AVENUE","316","BROOKLYN"
"12-16 30 AVENUE","401","QUEENS"
"323 EAST 61 STREET","108","MANHATTAN"
"260 ROCKAWAY AVENUE","316","BROOKLYN"
"348 WEST   44 STREET","104","MANHATTAN"
"738 5 AVENUE","307","BROOKLYN"
"346 WEST   44 STREET","104","MANHATTAN"
"688 JEFFERSON AVENUE","303","BROOKLYN"
"2004 NOSTRAND AVENUE","314","BROOKLYN"
"646 GREENE AVENUE","303","BROOKLYN"
"825 WILLOUGHBY AVENUE","303","BROOKLYN"
"44-14 DOUGLASTON PARKWAY","411","QUEENS"
"2019 NOSTRAND AVENUE","317","BROOKLYN"
"632 MIDLAND AVENUE","502","STATEN ISLAND"
"40-22 61 STREET","402","QUEENS"
"116 10 AVENUE","104","MANHATTAN"
"140 WEST 117 STREET","110","MANHATTAN"
"2001 CRESTON AVENUE","205","BRONX"
"622 MADISON STREET","303","BROOKLYN"
"16 19 STREET","307","BROOKLYN"
"190 16 STREET","307","BROOKLYN"
"844 BEDFORD AVENUE","303","BROOKLYN"
"353 2 AVENUE","106","MANHATTAN"
"1745 WEST FARMS ROAD","203","BRONX"
"9215 FLATLAND AVENUE","318","BROOKLYN"
"85-16 57 AVENUE","404","QUEENS"
"57 CATON PLACE","307","BROOKLYN"
"1609 47 STREET","312","BROOKLYN"
"1769 JEROME AVENUE","205","BRONX"
"299 MOTHER GASTON BOULEVARD","316","BROOKLYN"
"310 NORTH    7 STREET","301","BROOKLYN"
"794 BEDFORD AVENUE","303","BROOKLYN"
"189 MILLER AVENUE","305","BROOKLYN"
"115 WEST 95 STREET","107","MANHATTAN"
"3229 PERRY AVENUE","207","BRONX"
"23-09 BROADWAY","401","QUEENS"
"450 EAST 26 STREET","317","BROOKLYN"
"25-25 31 AVENUE","401","QUEENS"
"93-54 QUEENS BOULEVARD","406","QUEENS"
"308 LINDEN BOULEVARD","317","BROOKLYN"
"170 MARCY AVENUE","301","BROOKLYN"
"42 - 50 65 PLACE","NA","QUEENS"
"194 WALWORTH STREET","303","BROOKLYN"
"9 CHAPEL STREET","302","BROOKLYN"
"2315 AVENUE I","314","BROOKLYN"
"28-15 35 STREET","401","QUEENS"
"299 EAST 161 STREET","204","BRONX"
"452 BERRY STREET","301","BROOKLYN"
"45-30 PEARSON STREET","402","QUEENS"
"812 EAST  165 STREET","203","BRONX"
"118 10 AVENUE","104","MANHATTAN"
"15 HANOVER PLACE","302","BROOKLYN"
"356 EAST   78 STREET","108","MANHATTAN"
"115 STANWIX STREET","304","BROOKLYN"
"2958 MARION AVENUE","207","BRONX"
"4-99 44 DRIVE","402","QUEENS"
"29 3 AVENUE","103","MANHATTAN"
"23-16 45 AVENUE","402","QUEENS"
"501 9 AVENUE","NA","MANHATTAN"
"1254 FTELEY AVENUE","209","BRONX"
"123 MESEROLE AVENUE","301","BROOKLYN"
"55 BORINQUEN PLACE","301","BROOKLYN"
"135-01 35 AVENUE","407","QUEENS"
"3761 10 AVENUE","112","MANHATTAN"
"171 EAST  205 STREET","207","BRONX"
"16 FULTON STREET","101","MANHATTAN"
"1228 MADISON AVENUE","108","MANHATTAN"
"1771 WEEKS AVENUE","205","BRONX"
"467 GRAND STREET","301","BROOKLYN"
"6312 13 AVENUE","310","BROOKLYN"
"857 LAFAYETTE AVENUE","303","BROOKLYN"
"144 WEST  129 STREET","110","MANHATTAN"
"49 SHEFFIELD AVENUE","305","BROOKLYN"
"22 EAST  103 STREET","111","MANHATTAN"
"1603 UNIONPORT ROAD","209","BRONX"
"952 BEDFORD AVENUE","303","BROOKLYN"
"625 WARREN STREET","306","BROOKLYN"
"540 3 AVENUE","106","MANHATTAN"
"1669 SHEEPSHEAD BAY ROAD","315","BROOKLYN"
"290 LINDEN BOULEVARD","317","BROOKLYN"
"5115 15 AVENUE","312","BROOKLYN"
"2070 HONEYWELL AVENUE","206","BRONX"
"496 SUTTER AVENUE","305","BROOKLYN"
"51-34 ROOSEVELT AVENUE","402","QUEENS"
"239 EAST   28 STREET","317","BROOKLYN"
"977 EAST   34 STREET","317","BROOKLYN"
"749 53 STREET","307","BROOKLYN"
"52-29 35 STREET","402","QUEENS"
"313 GROVE STREET","304","BROOKLYN"
"221 GLENMORE AVENUE","305","BROOKLYN"
"19 ROCKWELL PLACE","302","BROOKLYN"
"345 BERGEN STREET","302","BROOKLYN"
"74 DIAMOND STREET","301","BROOKLYN"
"494 GATES AVENUE","303","BROOKLYN"
