address,c_b_no,Borough,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1024 MANHATTAN AVENUE",301,BROOKLYN,40.733979,-73.955039,0.9,nearest_rooftop_match,1025,"Manhattan Ave",,,Brooklyn,NY,"Kings County",11222,US,"City of New York"
"457 FULTON STREET",302,BROOKLYN,40.708665,-74.004756,0.7,street_center,,"Fulton St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
"824 60 STREET",312,BROOKLYN,40.762647,-73.967049,0.6,street_center,,"E 60th St",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"1330 CLINTON AVENUE",203,BRONX,40.832674,-73.899868,0.9,range_interpolation,1330,"Clinton Ave",,,Bronx,NY,"Bronx County",10456,US,"TIGER/Line® dataset from the US Census Bureau"
"18 INDIA STREET",301,BROOKLYN,40.731683,-73.959881,0.9,range_interpolation,18,"India St",,,Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
"1773 WEEKS AVENUE",205,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"29 JAY STREET",302,BROOKLYN,40.718169,-74.009645,1,range_interpolation,29,"Jay St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
"636 HANCOCK STREET",303,BROOKLYN,40.684956,-73.92992,0.85,nearest_rooftop_match,635,"Hancock St",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
"142 HURON STREET",301,BROOKLYN,40.732834,-73.955762,0.9,rooftop,142,"Huron St",,,Brooklyn,NY,"Kings County",11222,US,"City of New York"
"149 QUINCY STREET",303,BROOKLYN,40.686576,-73.955183,0.9,rooftop,149,"Quincy St",,,Brooklyn,NY,"Kings County",11216,US,"City of New York"
"3831 CARPENTER AVENUE",212,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"214 SKILLMAN STREET",303,BROOKLYN,40.691738,-73.956447,0.9,range_interpolation,214,"Skillman St",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"3217 WESTCHESTER AVENUE",210,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"1446 BRYANT AVENUE",203,BRONX,40.831251,-73.888254,0.9,range_interpolation,1446,"Bryant Ave",,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
"230 BOERUM STREET",301,BROOKLYN,40.706465,-73.938639,0.9,range_interpolation,230,"Boerum St",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
"186 LENOX AVENUE",110,MANHATTAN,40.804107,-73.948018,1,range_interpolation,186,"Lenox Ave",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
"431 MELROSE STREET",304,BROOKLYN,40.705005,-73.927153,0.9,range_interpolation,431,"Melrose St",,,Brooklyn,NY,"Kings County",11237,US,"TIGER/Line® dataset from the US Census Bureau"
"483 CLINTON AVENUE",302,BROOKLYN,40.683865,-73.966733,0.9,rooftop,483,"Clinton Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
"116-13 SUTPHIN BOULEVARD",412,QUEENS,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"115 EAST 55 STREET",105,MANHATTAN,40.760074,-73.970874,1,rooftop,115,"E 55th St",,,"New York",NY,"New York County",10022,US,"City of New York"
"604 BEECH TERRACE",201,BRONX,40.809398,-73.914218,0.9,range_interpolation,604,"Beech Ter",,,Bronx,NY,"Bronx County",10454,US,"TIGER/Line® dataset from the US Census Bureau"
"38 EAST 2 STREET",103,MANHATTAN,40.722951,-73.985345,1,range_interpolation,38,"E 2nd St",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
"54 CROWN STREET",309,BROOKLYN,40.722218,-74.001586,0.95,rooftop,54,"Greene St",,,"New York",NY,"New York County",10013,US,"City of New York"
"422 WEST 49 STREET",104,MANHATTAN,40.763222,-73.990522,1,rooftop,422,"W 49th St",,,"New York",NY,"New York County",10019,US,"City of New York"
"20 WEST 57 STREET",105,MANHATTAN,40.763256,-73.974799,1,range_interpolation,20,"W 57th St",,,"New York",NY,"New York County",10019,US,"TIGER/Line® dataset from the US Census Bureau"
"2337 2 AVENUE",111,MANHATTAN,40.799568,-73.936185,1,range_interpolation,2337,"2nd Ave",,,"New York",NY,"New York County",10035,US,"TIGER/Line® dataset from the US Census Bureau"
"228 VANDERBILT AVENUE",302,BROOKLYN,40.690562,-73.969486,0.9,rooftop,228,"Vanderbilt Ave",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
"60 FLATBUSH AVENUE",302,BROOKLYN,40.725492,-73.98375,0.87,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"43-29 BYRD STREET",407,QUEENS,40.705649,-74.011297,0.85,nearest_rooftop_match,41,"Broad St",,,"New York",NY,"New York County",10004,US,"City of New York"
"2000 KINGS HIGHWAY",315,BROOKLYN,40.610689,-73.95306,0.9,rooftop,2000,"Kings Hwy",,,Brooklyn,NY,"Kings County",11229,US,"City of New York"
"96 FLATBUSH AVENUE",302,BROOKLYN,40.725492,-73.98375,0.9,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"330 WALLABOUT STREET",301,BROOKLYN,40.700757,-73.949867,0.9,range_interpolation,330,"Wallabout St",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
"132-55 41 AVENUE",407,QUEENS,40.754756,-73.986234,0.8,nearest_rooftop_match,130,"W 41st St",,,"New York",NY,"New York County",10036,US,"City of New York"
"84-52 GRAND AVENUE",404,QUEENS,40.734559,-73.882318,0.9,rooftop,84-52,"Grand Ave",,,Elmhurst,NY,"Queens County",11373,US,"City of New York"
"223 SPENCER STREET",303,BROOKLYN,40.691452,-73.954452,0.9,rooftop,223,"Spencer St",,,Brooklyn,NY,"Kings County",11205,US,"City of New York"
"110-27 SUTPHIN BOULEVARD",412,QUEENS,40.689213,-73.795863,0.9,rooftop,110-27,"Sutphin Blvd",,,Jamaica,NY,"Queens County",11435,US,"City of New York"
"152 LENOX ROAD",317,BROOKLYN,40.802988,-73.948856,0.95,range_interpolation,152,"Lenox Ave",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
"445 VANDERBILT AVENUE",302,BROOKLYN,40.685034,-73.96807,0.9,rooftop,445,"Vanderbilt Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
"23-31 ASTORIA BOULEVARD",401,QUEENS,40.73012,-73.992318,0.9,range_interpolation,23,"Astor Pl",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
"430 MAIN STREET",108,MANHATTAN,40.687384,-74.017746,1,range_interpolation,430,"Main St",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"1034 ATLANTIC AVENUE",308,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"92-54 QUEENS BOULEVARD",406,QUEENS,40.762058,-73.673754,0.75,range_interpolation,92,"Queens Ln",,,"New Hyde Park",NY,"Nassau County",11040,US,"TIGER/Line® dataset from the US Census Bureau"
"604 EAST   40 STREET",317,BROOKLYN,40.749689,-73.976452,0.7,street_center,,"E 40th St",,,"New York",NY,"New York County",10016,US,"TIGER/Line® dataset from the US Census Bureau"
"1104 UNIVERSITY AVENUE",204,BRONX,40.835869,-73.929351,0.9,range_interpolation,1104,"University Ave",,,Bronx,NY,"Bronx County",10452,US,"TIGER/Line® dataset from the US Census Bureau"
"1745 WEST FARMS ROAD",NA,BRONX,40.835347,-73.882783,0.9,range_interpolation,1745,"W Farms Rd",,,Bronx,NY,"Bronx County",10460,US,"TIGER/Line® dataset from the US Census Bureau"
"1884 BROADWAY",316,BROOKLYN,40.770678,-73.981997,1,range_interpolation,1884,Broadway,,,"New York",NY,"New York County",10023,US,"TIGER/Line® dataset from the US Census Bureau"
"55-18 37 AVENUE",NA,QUEENS,40.751221,-73.984446,0.8,range_interpolation,55,"W 37th St",,,"New York",NY,"New York County",10018,US,"TIGER/Line® dataset from the US Census Bureau"
"61-06 JUNCTION BOULEVARD",406,QUEENS,40.733416,-73.863994,0.8,nearest_rooftop_match,61-11,"Junction Blvd",,,"Rego Park",NY,"Queens County",11374,US,"City of New York"
"183 COLUMBIA STREET",306,BROOKLYN,40.719757,-73.97873,0.9,range_interpolation,183,"Columbia St",,,"New York",NY,"New York County",10002,US,"TIGER/Line® dataset from the US Census Bureau"
"2009 NOSTRAND AVENUE",317,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"147 41 STREET",307,BROOKLYN,40.755039,-73.985842,0.9,range_interpolation,147,"W 41st St",,,"New York",NY,"New York County",10036,US,"TIGER/Line® dataset from the US Census Bureau"
"25-23 NEWTOWN AVENUE",401,QUEENS,40.725492,-73.98375,0.73,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"162 PERRY STREET",102,MANHATTAN,40.73459,-74.008709,1,range_interpolation,162,"Perry St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"43-46 39 PLACE",402,QUEENS,40.744941,-73.925139,0.8,range_interpolation,43,"39th Pl",,,Sunnyside,NY,"Queens County",11104,US,"TIGER/Line® dataset from the US Census Bureau"
"26-30 4 STREET",401,QUEENS,40.727473,-73.992584,0.8,nearest_rooftop_match,26,"E 4th St",,,"New York",NY,"New York County",10003,US,"City of New York"
"2073 ANTHONY AVENUE",205,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"679 VAN SINDEREN AVENUE",305,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"104-19 ROOSEVELT AVENUE",403,QUEENS,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"45-07 45 STREET",NA,QUEENS,40.755788,-73.980136,0.8,nearest_rooftop_match,7,"W 45th St",,,"New York",NY,"New York County",10036,US,"City of New York"
"58-01 QUEENS BOULEVARD",402,QUEENS,40.761113,-73.673538,0.75,range_interpolation,58,"Queens Ln",,,"New Hyde Park",NY,"Nassau County",11040,US,"TIGER/Line® dataset from the US Census Bureau"
"141-15 78 AVENUE",NA,QUEENS,40.775925,-73.963044,0.75,nearest_rooftop_match,15,"E 78th St",,,"New York",NY,"New York County",10075,US,"City of New York"
"1406 CROTONA PARK EAST",203,BRONX,40.732307,-73.680352,0.8,rooftop,1406,"S Park Pl",,,"New Hyde Park",NY,"Nassau County",11040,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"909 EAST TREMONT AVENUE",206,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"2886 ATLANTIC AVENUE",305,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"370 EVERGREEN AVENUE",304,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"459 FULTON STREET",302,BROOKLYN,40.708665,-74.004756,0.7,street_center,,"Fulton St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
"1458 FLATBUSH AVENUE",314,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"1985 HONEYWELL AVENUE",206,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"757 FLATBUSH AVENUE",314,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"4315 3 AVENUE",307,BROOKLYN,40.766307,-73.963353,0.7,street_center,,"3rd Ave",,,"The Bronx",NY,"New York County",10065,US,"TIGER/Line® dataset from the US Census Bureau"
"1953 WALLACE AVENUE",211,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"2809 SEDGWICK AVENUE",208,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"40-38 61 STREET",402,QUEENS,40.76445,-73.969848,0.8,nearest_rooftop_match,38,"E 61st St",,,"New York",NY,"New York County",10065,US,"City of New York"
"93 DUPONT STREET",301,BROOKLYN,40.735946,-73.956573,0.9,range_interpolation,93,"Dupont St",,,Brooklyn,NY,"Kings County",11222,US,"TIGER/Line® dataset from the US Census Bureau"
"2594 FULTON STREET",305,BROOKLYN,40.676878,-73.898475,0.9,nearest_rooftop_match,2598,"Fulton St",,,Brooklyn,NY,"Kings County",11207,US,"City of New York"
"167 MALCOLM X BOULEVARD",303,BROOKLYN,40.803687,-73.948703,1,range_interpolation,167,"Malcolm X Blvd",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
"529 MAPLE STREET",309,BROOKLYN,40.661383,-73.943233,0.9,rooftop,529,"Maple St",,,Brooklyn,NY,"Kings County",11225,US,"City of New York"
"3631 JOHNSON AVENUE",208,BRONX,40.887369,-73.909387,0.9,range_interpolation,3631,"Johnson Ave",,,Bronx,NY,"Bronx County",10463,US,"TIGER/Line® dataset from the US Census Bureau"
"1896 UNIVERSITY AVENUE",205,BRONX,40.852117,-73.913912,0.9,range_interpolation,1896,"University Ave",,,Bronx,NY,"Bronx County",10453,US,"TIGER/Line® dataset from the US Census Bureau"
"643 5 AVENUE",307,BROOKLYN,40.759651,-73.976303,1,range_interpolation,643,"5th Ave",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"1205 BROADWAY",304,BROOKLYN,40.746186,-73.988592,1,range_interpolation,1205,Broadway,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"912 BERGEN STREET",308,BROOKLYN,40.676959,-73.957165,0.9,rooftop,912,"Bergen St",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
"356 EAST   78 STREET",108,MANHATTAN,40.771953,-73.954602,1,range_interpolation,356,"E 78th St",,,"New York",NY,"New York County",10075,US,"TIGER/Line® dataset from the US Census Bureau"
"920 METROPOLITAN AVENUE",301,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"190 BEDFORD AVENUE",301,BROOKLYN,40.733152,-74.005607,0.95,range_interpolation,190,"Bedford St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"4025 GUNTHER AVENUE",212,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"280 MEEKER AVENUE",301,BROOKLYN,40.725492,-73.98375,0.61,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"3545 WHITE PLAINS ROAD",212,BRONX,40.717737,-74.002877,0.7,street_center,,"White St",,,"New York",NY,"New York County",10013,US,"TIGER/Line® dataset from the US Census Bureau"
"30 WEST  182 STREET",205,BRONX,40.848516,-73.930363,0.9,range_interpolation,30,"W 182nd St",,,"New York",NY,"New York County",10033,US,"TIGER/Line® dataset from the US Census Bureau"
"147-58 77 ROAD",408,QUEENS,40.781235,-73.978163,0.6,nearest_rooftop_match,148,"W 77th St",,,"New York",NY,"New York County",10024,US,"City of New York"
"1323 CHISHOLM STREET",203,BRONX,40.830821,-73.895797,0.9,range_interpolation,1323,"Chisholm St",,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
"517 SARATOGA AVENUE",316,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"7121 13 AVENUE",310,BROOKLYN,40.739117,-74.003454,0.6,street_center,,"W 13th St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"2736 CRESTON AVENUE",207,BRONX,40.869071,-73.893859,0.9,range_interpolation,2736,"Creston Ave",,,Bronx,NY,"Bronx County",10468,US,"TIGER/Line® dataset from the US Census Bureau"
"1755 PITKIN AVENUE",316,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"156 PERRY STREET",102,MANHATTAN,40.734617,-74.008559,1,range_interpolation,156,"Perry St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"6201 BROADWAY",208,BRONX,40.750511,-73.899801,0.9,rooftop,62-1,Broadway,,,Woodside,NY,"Queens County",11377,US,"City of New York"
"613 5 AVENUE",307,BROOKLYN,40.759465,-73.976406,1,range_interpolation,613,"5th Ave",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"8516 AVENUE J",318,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"212 EAST  125 STREET",111,MANHATTAN,40.803244,-73.935143,1,rooftop,212,"E 125th St",,,"New York",NY,"New York County",10035,US,"City of New York"
"143-06 135 AVENUE",412,QUEENS,40.81504,-73.942679,0.8,nearest_rooftop_match,145,"W 135th St",,,"New York",NY,"New York County",10030,US,"City of New York"
"66 UNIVERSITY PLACE",102,MANHATTAN,40.733068,-73.993774,1,range_interpolation,66,"University Pl",,,"New York",NY,"New York County",10003,US,"TIGER/Line® dataset from the US Census Bureau"
"629 FRANKLIN AVENUE",308,BROOKLYN,40.676907,-73.9555,0.9,range_interpolation,629,"Franklin Ave",,,Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"97-01 55 AVENUE",404,QUEENS,40.763024,-73.978139,0.8,range_interpolation,97,"W 55th St",,,"New York",NY,"New York County",10019,US,"TIGER/Line® dataset from the US Census Bureau"
"380 FOURTH AVENUE",306,BROOKLYN,40.727552,-73.993645,0.7,rooftop,380,"Lafayette St",,,"New York",NY,"New York County",10003,US,"City of New York"
"71 QUINCY STREET",303,BROOKLYN,40.685926,-73.95858,0.9,range_interpolation,71,"Quincy St",,,Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"844 BEDFORD AVENUE",303,BROOKLYN,40.695051,-73.956168,0.9,range_interpolation,844,"Bedford Ave",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"156 17 STREET",307,BROOKLYN,40.740249,-73.998035,0.9,rooftop,156,"W 17th St",,,"New York",NY,"New York County",10011,US,"City of New York"
"535 EAST 12 STREET",103,MANHATTAN,40.728505,-73.979691,1,rooftop,535,"E 12th St",,,"New York",NY,"New York County",10009,US,"City of New York"
"122 4 AVENUE",306,BROOKLYN,40.733053,-73.990156,1,rooftop,122,"4th Ave",,,"New York",NY,"New York County",10003,US,"City of New York"
"2461 HUGHES AVENUE",206,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"15 GERRY STREET",301,BROOKLYN,40.700216,-73.949812,0.9,range_interpolation,15,"Gerry St",,,Brooklyn,NY,"Kings County",11206,US,"TIGER/Line® dataset from the US Census Bureau"
"1467 3 AVENUE",108,MANHATTAN,40.776716,-73.955432,1,range_interpolation,1467,"3rd Ave",,,"New York",NY,"New York County",10028,US,"TIGER/Line® dataset from the US Census Bureau"
"1209 1 AVENUE",108,MANHATTAN,40.763647,-73.959255,1,range_interpolation,1209,"1st Ave",,,"New York",NY,"New York County",10065,US,"TIGER/Line® dataset from the US Census Bureau"
"2252 AQUEDUCT AVENUE",205,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"1010 PARK AVENUE",108,MANHATTAN,40.779361,-73.958114,1,rooftop,1010,"Park Ave",,,"New York",NY,"New York County",10028,US,"City of New York"
"209 HAVEMEYER STREET",301,BROOKLYN,40.708848,-73.959443,0.9,range_interpolation,209,"Havemeyer St",,,Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"2519 SEDGWICK AVENUE",207,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"235 ROBINSON AVENUE",210,BRONX,40.725492,-73.98375,0.66,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"21 LEFFERTS PLACE",302,BROOKLYN,40.681839,-73.962811,0.9,range_interpolation,21,"Lefferts Pl",,,Brooklyn,NY,"Kings County",11238,US,"TIGER/Line® dataset from the US Census Bureau"
"353 BEDFORD AVENUE",301,BROOKLYN,40.711763,-73.962844,0.9,range_interpolation,353,"Bedford Ave",,,Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"48 CHRISTOPHER AVENUE",316,BROOKLYN,40.733562,-74.00203,0.95,range_interpolation,48,"Christopher St",,,"New York",NY,"New York County",10014,US,"TIGER/Line® dataset from the US Census Bureau"
"1390 RICHMOND TERRACE",501,"STATEN ISLAND",40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"420 GATES AVENUE",303,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"501 3 AVENUE",106,MANHATTAN,40.745456,-73.978104,1,rooftop,501,"3rd Ave",,,"New York",NY,"New York County",10016,US,"City of New York"
"1846 PARK PLACE",316,BROOKLYN,40.671465,-73.916273,0.9,rooftop,1846,"Park Pl",,,Brooklyn,NY,"Kings County",11233,US,"City of New York"
"2385 TIEBOUT AVENUE",205,BRONX,40.858811,-73.896068,0.9,range_interpolation,2385,"Tiebout Ave",,,Bronx,NY,"Bronx County",10458,US,"TIGER/Line® dataset from the US Census Bureau"
"3405 3 AVENUE",203,BRONX,40.766307,-73.963353,0.7,street_center,,"3rd Ave",,,"The Bronx",NY,"New York County",10065,US,"TIGER/Line® dataset from the US Census Bureau"
"103 SCHENECTADY AVENUE",308,BROOKLYN,40.725492,-73.98375,0.79,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"1047 OGDEN AVENUE",204,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"951 BEDFORD AVENUE",303,BROOKLYN,40.691526,-73.955452,0.9,range_interpolation,951,"Bedford Ave",,,Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"31 WAVE STREET",501,"STATEN ISLAND",0,0,0,,"Could not geocode address. No matches found.",,,,,,,,,
"760 MADISON AVENUE",108,MANHATTAN,40.767692,-73.968649,1,range_interpolation,760,"Madison Ave",,,"New York",NY,"New York County",10065,US,"TIGER/Line® dataset from the US Census Bureau"
"26 NAGLE AVENUE",112,MANHATTAN,40.859592,-73.931068,1,range_interpolation,26,"Nagle Ave",,,"New York",NY,"New York County",10040,US,"TIGER/Line® dataset from the US Census Bureau"
"38 STRATFORD ROAD",314,BROOKLYN,40.647881,-73.969373,0.9,range_interpolation,38,"Stratford Rd",,,Brooklyn,NY,"Kings County",11218,US,"TIGER/Line® dataset from the US Census Bureau"
"37 PORT RICHMOND AVENUE",501,"STATEN ISLAND",40.725492,-73.98375,0.74,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"110-12 101 AVENUE",NA,QUEENS,40.795463,-73.963805,0.8,range_interpolation,110,"W 101st St",,,"New York",NY,"New York County",10025,US,"TIGER/Line® dataset from the US Census Bureau"
"150-19 GUY R BREWER BOULEVARD",413,QUEENS,40.656931,-73.767274,0.8,nearest_rooftop_match,150-1,"Guy R Brewer Blvd",,,Jamaica,NY,"Queens County",11434,US,"City of New York"
"1100 LEGGETT AVENUE",202,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"263 PORT RICHMOND AVENUE",501,"STATEN ISLAND",40.725492,-73.98375,0.63,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"80 WYTHE AVENUE",301,BROOKLYN,40.725492,-73.98375,0.89,nearest_rooftop_match,94,Ave,,,"New York",NY,"New York County",10009,US,"City of New York"
"2779 UNIVERSITY AVENUE",208,BRONX,40.871129,-73.899578,0.9,range_interpolation,2779,"University Ave",,,Bronx,NY,"Bronx County",10468,US,"TIGER/Line® dataset from the US Census Bureau"
"1824 ANTHONY AVENUE",205,BRONX,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"402 MOTHER GASTON BOULEVARD",316,BROOKLYN,40.669251,-73.906652,0.9,range_interpolation,402,"Mother Gaston Blvd",,,Brooklyn,NY,"Kings County",11212,US,"TIGER/Line® dataset from the US Census Bureau"
"31 RICHARD STREET",306,BROOKLYN,40.680393,-74.006465,0.9,rooftop,31,"Richards St",,,Brooklyn,NY,"Kings County",11231,US,"City of New York"
"656 EAST FORDHAM ROAD",206,BRONX,40.858109,-73.883137,0.9,range_interpolation,656,"E Fordham Rd",,,Bronx,NY,"Bronx County",10458,US,"TIGER/Line® dataset from the US Census Bureau"
"591 EAST   31 STREET",317,BROOKLYN,40.744708,-73.982187,0.7,street_center,,"E 31st St",,,"New York",NY,"New York County",10016,US,"TIGER/Line® dataset from the US Census Bureau"
"88-11 179 PLACE",412,QUEENS,40.710797,-73.78266,0.8,range_interpolation,88,"179th Pl",,,Jamaica,NY,"Queens County",11432,US,"TIGER/Line® dataset from the US Census Bureau"
"100-15 NORTHERN BOULEVARD",403,QUEENS,40.757442,-73.867463,0.8,range_interpolation,100,"Northern Blvd",,,Corona,NY,"Queens County",11368,US,"TIGER/Line® dataset from the US Census Bureau"
"330 ATLANTIC AVENUE",302,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"1355 55 STREET",312,BROOKLYN,40.75861,-73.967558,0.6,street_center,,"E 55th St",,,"New York",NY,"New York County",10022,US,"TIGER/Line® dataset from the US Census Bureau"
"470 KENT AVENUE",301,BROOKLYN,40.750422,-73.996328,0.5,place,,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
"85-18 57 AVENUE",404,QUEENS,40.764585,-73.977414,0.78,nearest_rooftop_match,101,"W 57th St",,,"New York",NY,"New York County",10019,US,"City of New York"
"483 CLINTON AVENUE",302,BROOKLYN,40.683865,-73.966733,0.9,rooftop,483,"Clinton Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
